,open,close,high,low,volume,money
2016-04-30,156.69,156.68,156.69,156.68,16857700.0,179445126.0
2016-05-31,157.25,157.18,157.25,157.15,25684400.0,267659800.0
2016-06-30,157.67,157.67,157.67,157.64,40748400.0,428685777.0
2016-07-31,158.4,158.44,158.45,158.39,35419800.0,364105379.0
2016-08-31,159.21,159.22,159.22,159.19,39280000.0,417581474.0
2016-09-30,159.69,159.73,159.75,159.69,10694600.0,112742280.0
2016-10-31,160.76,160.72,160.76,160.72,43268700.0,463738407.0
2016-11-30,160.58,160.36,160.58,160.35,177712200.0,1789116157.0
2016-12-31,159.69,159.79,159.82,159.65,36977300.0,378871582.0
2017-01-31,159.67,159.71,159.71,159.62,4087800.0,40741722.0
2017-02-28,160.04,160.02,160.04,160.0,21028300.0,211421699.0
2017-03-31,160.18,160.18,160.19,160.14,7500400.0,75541168.0
2017-04-30,160.62,160.61,160.63,160.59,4582700.0,44828436.0
2017-05-31,159.98,160.15,160.15,159.98,9799300.0,97486991.0
2017-06-30,160.43,160.41,160.43,160.41,10438600.0,104761241.0
2017-07-31,160.39,160.36,160.39,160.34,16842400.0,170304357.0
2017-08-31,160.71,160.71,160.74,160.71,8656700.0,85177399.0
2017-09-30,160.68,160.69,160.69,160.65,26325100.0,259060763.0
2017-10-31,160.81,160.81,160.9,160.81,11769500.0,113974180.0
2017-11-30,160.8,160.81,160.84,160.8,17025000.0,165326117.0
2017-12-31,160.88,160.85,160.95,160.83,22582600.0,193086607.0
2018-01-31,161.28,161.27,161.28,161.24,17277200.0,166569829.0
2018-02-28,161.97,162.05,162.05,161.96,16325000.0,159485292.0
2018-03-31,162.91,162.96,162.96,162.9,12086400.0,119340098.0
2018-04-30,163.95,163.92,163.96,163.91,11119900.0,109586696.0
2018-05-31,164.69,164.7,164.71,164.67,12966500.0,126006320.0
2018-06-30,165.28,165.44,165.45,165.28,24708400.0,242546555.0
2018-07-31,166.36,166.42,166.42,166.34,34754200.0,341001268.0
2018-08-31,166.61,166.6,166.64,166.59,13684700.0,132519173.0
2018-09-30,166.9,166.92,166.92,166.9,16281600.0,153400184.0
2018-10-31,167.61,167.64,167.64,167.59,17891200.0,171164125.0
2018-11-30,168.69,168.69,168.7,168.68,25055200.0,251987564.0
2018-12-31,169.71,169.88,169.88,169.71,29661700.0,291770159.0
2019-01-31,170.9,170.96,170.97,170.9,18464600.0,181075918.0
2019-02-28,171.4,171.42,171.43,171.4,22727800.0,224499789.0
2019-03-31,172.05,172.02,172.06,172.01,19528800.0,192676709.0
2019-04-30,172.02,172.02,172.02,172.01,12426000.0,119689484.0
2019-05-31,172.57,172.56,172.58,172.54,11584200.0,110176694.0
2019-06-30,173.32,173.31,173.34,173.3,15881800.0,151271776.0
2019-07-31,173.99,174.02,174.02,173.99,24011000.0,238107423.0
2019-08-31,175.01,174.98,175.01,174.98,17123600.0,167190213.0
2019-09-30,175.52,175.53,175.53,175.51,23921400.0,233262230.0
2019-10-31,175.77,175.76,175.78,175.76,1781510.0,171913230.0
2019-11-30,176.44,176.45,176.45,176.43,1402730.0,132685639.0
2019-12-31,177.23,177.27,177.28,177.21,4573880.0,461522023.0
2020-01-31,178.07,178.15,178.17,178.06,2936110.0,288065508.0
2020-02-29,179.39,179.44,179.44,179.39,5269550.0,531954488.0
2020-03-31,181.31,181.34,181.34,181.31,9622000.0,978945757.0
2020-04-30,182.78,182.71,182.78,182.66,4575470.0,461335062.0
